通貨ペア,日付,始値,高値,安値,終値
1,2020/3/12,104.36,106.093,103.076,104.661
1,2020/3/13,104.766,108.502,104.506,107.996
1,2020/3/16,106.945,107.571,105.139,105.969
1,2020/3/17,105.893,107.859,105.819,107.63
1,2020/3/18,107.63,108.651,106.752,108.069
1,2020/3/19,107.912,110.951,107.827,110.604
1,2020/3/20,110.694,111.5,109.327,111.104
1,2020/3/23,110.723,111.595,109.666,111.248
1,2020/3/24,111.093,111.709,110.082,111.228
1,2020/3/25,111.36,111.681,110.75,111.196
1,2020/3/26,111.187,111.264,109.203,109.587
1,2020/3/27,109.592,109.635,107.747,107.915
1,2020/3/30,107.708,108.295,107.12,107.907
1,2020/3/31,107.769,108.726,107.458,107.51
1,2020/4/1,107.534,107.934,106.92,107.163
1,2020/4/2,107.119,108.091,107.011,107.857
1,2020/4/3,107.8,108.678,107.781,108.46
1,2020/4/6,108.388,109.382,108.388,109.2
1,2020/4/7,109.188,109.263,108.67,108.796
1,2020/4/8,108.775,109.099,108.5,108.845
1,2020/4/9,108.809,109.061,108.206,108.493
1,2020/4/10,108.43,108.583,108.321,108.398
1,2020/4/13,108.395,108.483,107.499,107.749
1,2020/4/14,107.712,107.759,106.982,107.21
1,2020/4/15,107.148,107.872,106.922,107.432
1,2020/4/16,107.346,108.082,107.161,107.859
1,2020/4/17,107.862,108.082,107.3,107.58
1,2020/4/20,107.507,107.95,107.453,107.631
1,2020/4/21,107.564,107.893,107.28,107.757
1,2020/4/22,107.735,107.938,107.515,107.718
1,2020/4/23,107.761,108.043,107.346,107.62
1,2020/4/24,107.58,107.759,107.37,107.452
1,2020/4/27,107.498,107.621,106.992,107.257
1,2020/4/28,107.209,107.337,106.56,106.861
1,2020/4/29,106.82,106.892,106.35,106.581
1,2020/4/30,106.587,107.495,106.406,107.155
1,2020/5/1,107.125,107.404,106.604,106.93
1,2020/5/4,106.76,107.069,106.634,106.721
1,2020/5/5,106.698,106.895,106.416,106.531
1,2020/5/6,106.483,106.574,105.988,106.088
1,2020/5/7,106.015,106.655,105.986,106.266
1,2020/5/8,106.244,106.743,106.22,106.735
1,2020/5/11,106.604,107.768,106.558,107.627
1,2020/5/12,107.612,107.689,107.12,107.146
1,2020/5/13,107.085,107.276,106.738,107.031
1,2020/5/14,106.969,107.364,106.775,107.235
1,2020/5/15,107.217,107.434,106.855,107.17
1,2020/5/18,107.07,107.506,107.056,107.301
1,2020/5/19,107.277,108.087,107.222,107.711
1,2020/5/20,107.637,107.984,107.337,107.544
1,2020/5/21,107.513,107.849,107.501,107.598
1,2020/5/22,107.602,107.76,107.323,107.608
1,2020/5/25,107.526,107.781,107.524,107.708
1,2020/5/26,107.666,107.924,107.401,107.548
1,2020/5/27,107.511,107.946,107.365,107.715
1,2020/5/28,107.674,107.901,107.57,107.615
1,2020/5/29,107.605,107.894,107.078,107.875
1,2020/6/1,107.666,107.857,107.374,107.58
1,2020/6/2,107.535,108.771,107.515,108.681
1,2020/6/3,108.621,108.984,108.421,108.925
1,2020/6/4,108.844,109.197,108.614,109.165
1,2020/6/5,109.104,109.85,109.044,109.616
1,2020/6/8,109.568,109.686,108.233,108.44
1,2020/6/9,108.394,108.541,107.621,107.743
1,2020/6/10,107.706,107.874,106.991,107.146
1,2020/6/11,107.067,107.235,106.57,106.862
1,2020/6/12,106.795,107.553,106.584,107.407
1,2020/6/15,107.336,107.555,107,107.353
1,2020/6/16,107.363,107.638,107.211,107.291
1,2020/6/17,107.278,107.442,106.951,106.999
1,2020/6/18,106.939,107.129,106.667,106.973
1,2020/6/19,106.951,107.059,106.767,106.845
1,2020/6/22,106.748,107.01,106.725,106.863
1,2020/6/23,106.844,107.222,106.073,106.529
1,2020/6/24,106.435,107.068,106.384,107.058
1,2020/6/25,107.003,107.452,106.953,107.174
1,2020/6/26,107.173,107.357,106.798,107.199
1,2020/6/29,107.081,107.885,107.041,107.58
1,2020/6/30,107.51,107.983,107.505,107.932
1,2020/7/1,107.905,108.164,107.362,107.455
1,2020/7/2,107.42,107.724,107.332,107.498
1,2020/7/3,107.479,107.568,107.436,107.485
1,2020/7/6,107.46,107.773,107.258,107.385
1,2020/7/7,107.326,107.791,107.247,107.538
1,2020/7/8,107.475,107.711,107.202,107.253
1,2020/7/9,107.231,107.398,107.097,107.201
1,2020/7/10,107.169,107.264,106.639,106.93
1,2020/7/13,106.861,107.319,106.787,107.283
1,2020/7/14,107.227,107.427,107.119,107.236
1,2020/7/15,107.205,107.309,106.666,106.939
1,2020/7/16,106.895,107.401,106.833,107.272
1,2020/7/17,107.25,107.36,106.938,106.986
1,2020/7/20,107.011,107.537,106.97,107.279
1,2020/7/21,107.193,107.367,106.681,106.803
1,2020/7/22,106.789,107.288,106.705,107.153
1,2020/7/23,107.124,107.231,106.711,106.865
1,2020/7/24,106.826,106.872,105.681,106.052
1,2020/7/27,105.996,106.056,105.115,105.373
1,2020/7/28,105.372,105.686,104.956,105.088
1,2020/7/29,105.032,105.244,104.769,104.94
1,2020/7/30,104.902,105.295,104.68,104.739
1,2020/7/31,104.692,106.055,104.184,105.895
1,2020/8/3,105.768,106.468,105.576,105.955
1,2020/8/4,105.959,106.196,105.638,105.731
1,2020/8/5,105.612,105.873,105.32,105.59
1,2020/8/6,105.521,105.697,105.301,105.528
1,2020/8/7,105.491,106.056,105.481,105.948
1,2020/8/10,105.871,106.201,105.709,105.959
1,2020/8/11,105.897,106.683,105.889,106.496
1,2020/8/12,106.48,107.014,106.432,106.873
1,2020/8/13,106.816,107.05,106.566,106.921
1,2020/8/14,106.857,107.039,106.431,106.621
1,2020/8/17,106.572,106.654,105.943,106
